validation,result,column,pk,detail,source_value,target_value
record_count_check,FAIL,,,"Source: 49899 rows, Target: 49897 rows",49899,49897
column_count_check,PASS,,,"Source: 48 columns, Target: 49 columns, Common: 48 | Target-only: ['Identifier']",48,49
metadata_type_check,PASS,ARR Size Dynamic,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Account ID,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Account Name,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Account Ranking List,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Bill State,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,"BoP (Adjusted, w/ Late Renewals Extn)",,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Bundle Product Code,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Category,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Category (Adjusted),,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Cohort ARR Size,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Covered Finance Product Category,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Distributor Name,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,End Customer,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,"EoP (Adjusted, w/ Late Renewals Extn)",,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,"EoP, Unadjusted  ",,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Extn for Late Renewals,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Finance Product Category,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Geo ,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Index#,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Industry,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Industry [Custom],,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Max. Fortune Rank,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Month of Revenue Date,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Order Number,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Peak ARR,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Previous ARR,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Previous Extn for Late Renewals,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Previous Refresh Overlap Adj,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Product Family,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Product Group,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Product Name,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Product Penetration (Landed),,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Quantity,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,RCN Emp Count,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Refresh Overlap Adj,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Region,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,Reseller Name,,"Compatible types: Source 'object', Target 'object'",object,object
